epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2946,1.16807,3.25518,1.10609,0.01071,1,0.29519,0.22015,0.74162,3.14896,0.8678,0.00010002,0.00010002,0.00010002
2,31.0957,0.97627,1.87853,0.94763,1,0.41255,0.63024,0.46215,0.77705,2.47403,0.82831,0.000209559,0.000209559,0.000209559
3,45.354,0.85845,1.03824,0.92845,1,0.41893,0.50343,0.36419,0.90555,2.35729,0.87714,0.000311396,0.000311396,0.000311396
4,59.6441,0.76986,0.90524,0.88947,1,0.4093,0.49796,0.33358,0.89964,2.75419,0.88441,0.000405531,0.000405531,0.000405531
5,74.664,0.83128,0.86519,0.91284,1,0.28207,0.57724,0.43501,0.72348,2.54755,0.83298,0.000491965,0.000491965,0.000491965
6,89.1439,0.79599,0.82784,0.91125,0.90865,0.8831,0.96147,0.79311,0.70263,2.53084,0.85415,0.000570697,0.000570697,0.000570697
7,107.133,0.7524,0.76499,0.90299,0.0165,1,0.96077,0.77046,0.74866,2.55668,0.88215,0.000641728,0.000641728,0.000641728
8,127.952,0.73373,0.73873,0.90063,1,0.39305,0.99453,0.83535,0.67688,2.11799,0.84396,0.000705058,0.000705058,0.000705058
9,146.972,0.7633,0.73075,0.91242,1,0.5987,0.99189,0.81945,0.72951,2.07546,0.86475,0.000760685,0.000760685,0.000760685
10,165.294,0.72592,0.69049,0.87509,1,0.50364,0.995,0.85365,0.62874,1.89742,0.84014,0.000808612,0.000808612,0.000808612
11,182.484,0.70765,0.67334,0.88473,1,0.88699,0.995,0.82858,0.67093,1.69523,0.85128,0.000848836,0.000848836,0.000848836
12,198.446,0.71305,0.67308,0.8918,0.99723,1,0.995,0.86945,0.57904,1.25163,0.83388,0.00088136,0.00088136,0.00088136
13,214.333,0.72948,0.66741,0.88718,0.99625,1,0.995,0.87244,0.56527,1.14311,0.83221,0.000906181,0.000906181,0.000906181
14,229.601,0.68381,0.6381,0.88716,0.99834,1,0.995,0.8706,0.55203,1.0097,0.82543,0.000923301,0.000923301,0.000923301
15,244.379,0.65365,0.6265,0.89266,0.99821,1,0.995,0.8661,0.59049,0.97873,0.83337,0.000896846,0.000896846,0.000896846
16,259.173,0.65419,0.63902,0.90093,0.99837,1,0.995,0.87672,0.57426,0.73844,0.82382,0.000841835,0.000841835,0.000841835
17,273.935,0.63755,0.61887,0.87448,0.99921,1,0.995,0.86945,0.6012,0.6889,0.83373,0.000786824,0.000786824,0.000786824
18,293.04,0.62737,0.59967,0.87165,0.99931,1,0.995,0.87822,0.56974,0.63122,0.82434,0.000731813,0.000731813,0.000731813
19,312.795,0.65062,0.62213,0.8798,0.99877,0.99977,0.995,0.87624,0.55795,0.67491,0.81974,0.000676802,0.000676802,0.000676802
20,331.069,0.63164,0.58906,0.87505,0.99755,0.99982,0.995,0.86886,0.60347,0.68901,0.82879,0.000621791,0.000621791,0.000621791
21,348.201,0.59169,0.69527,0.8502,0.99848,1,0.995,0.8766,0.56092,0.73632,0.81921,0.00056678,0.00056678,0.00056678
22,365.131,0.57074,0.67435,0.83215,0.99754,1,0.995,0.88625,0.50051,0.81201,0.80704,0.000511769,0.000511769,0.000511769
23,380.504,0.58331,0.67944,0.84135,0.99704,1,0.995,0.88351,0.52158,0.69746,0.81146,0.000456758,0.000456758,0.000456758
24,395.81,0.53216,0.642,0.84139,0.99931,1,0.995,0.88381,0.52676,0.62644,0.81072,0.000401747,0.000401747,0.000401747
25,410.929,0.51639,0.59776,0.83066,0.99911,1,0.995,0.89507,0.49812,0.60091,0.80314,0.000346736,0.000346736,0.000346736
26,425.615,0.50462,0.58659,0.84043,0.99895,1,0.995,0.90451,0.47614,0.52311,0.79984,0.000291725,0.000291725,0.000291725
27,440.269,0.48879,0.56698,0.81923,0.99864,1,0.995,0.90223,0.46284,0.48337,0.79801,0.000236714,0.000236714,0.000236714
28,455.78,0.49443,0.56779,0.81785,0.9989,1,0.995,0.90473,0.4599,0.4729,0.79778,0.000181703,0.000181703,0.000181703
29,476.732,0.49609,0.56397,0.81388,0.99901,1,0.995,0.90482,0.4522,0.47028,0.79587,0.000126692,0.000126692,0.000126692
30,495.632,0.46497,0.55104,0.81479,0.99919,1,0.995,0.90975,0.44407,0.46346,0.79405,7.1681e-05,7.1681e-05,7.1681e-05
